98,2024-02-28 19:20:42.811898
104,89,2024-02-28 19:20:42.812899
92,102,2024-02-28 19:20:42.813898
103,115,2024-02-28 19:20:42.813898
120,119,2024-02-28 19:20:42.814899
123,121,2024-02-28 19:20:42.815899
115,117,2024-02-28 19:20:42.816900
117,118,2024-02-28 19:20:42.817899
117,121,2024-02-28 19:20:42.817899
119,120,2024-02-28 19:20:42.818900
120,121,2024-02-28 19:20:42.819900
117,116,2024-02-28 19:20:42.820901
113,113,2024-02-28 19:20:42.820901
111,117,2024-02-28 19:20:42.821899
108,116,2024-02-28 19:20:42.822900
106,116,2024-02-28 19:20:42.822900
103,117,2024-02-28 19:20:42.823901
103,118,2024-02-28 19:20:42.824902
105,114,2024-02-28 19:20:42.824902
106,109,2024-02-28 19:20:42.825900
108,110,2024-02-28 19:20:42.826901
110,103,2024-02-28 19:20:42.834906
109,68,2024-02-28 19:20:42.835906
74,84,2024-02-28 19:20:42.836906
87,98,2024-02-28 19:20:42.838907
100,98,2024-02-28 19:20:42.839906
99,109,2024-02-28 19:20:42.840907
117,113,2024-02-28 19:20:42.841906
131,112,2024-02-28 19:20:42.843907
132,112,2024-02-28 19:20:42.844906
136,114,2024-02-28 19:20:42.846907
137,116,2024-02-28 19:20:42.847908
104,2024-02-28 19:20:42.848909
110,98,2024-02-28 19:20:42.850908
95,111,2024-02-28 19:20:42.851910
104,130,2024-02-28 19:20:42.853909
119,128,2024-02-28 19:20:42.854910
115,123,2024-02-28 19:20:42.855908
116,125,2024-02-28 19:20:42.856910
119,126,2024-02-28 19:20:42.857911
117,124,2024-02-28 19:20:42.858911
116,125,2024-02-28 19:20:42.860911
116,127,2024-02-28 19:20:42.861912
115,125,2024-02-28 19:20:42.862949
112,124,2024-02-28 19:20:42.864260
109,121,2024-02-28 19:20:42.865309
106,117,2024-02-28 19:20:42.866307
105,114,2024-02-28 19:20:42.867308
108,110,2024-02-28 19:20:42.868758
108,107,2024-02-28 19:20:42.869840
105,107,2024-02-28 19:20:42.870869
107,100,2024-02-28 19:20:42.871945
107,73,2024-02-28 19:20:42.873263
79,66,2024-02-28 19:20:42.873263
66,62,2024-02-28 19:20:42.874288
68,102,2024-02-28 19:20:42.875300
114,112,2024-02-28 19:20:42.876332
138,109,2024-02-28 19:20:42.877639
142,107,2024-02-28 19:20:42.878650
139,105,2024-02-28 19:20:42.879650
137,104,2024-02-28 19:20:42.880708
133,105,2024-02-28 19:20:42.881717
131,108,2024-02-28 19:20:42.883035
123,109,2024-02-28 19:20:42.884089
95,2024-02-28 19:20:42.886100
94,91,2024-02-28 19:20:42.887107
81,105,2024-02-28 19:20:42.888126
93,124,2024-02-28 19:20:42.888126
115,122,2024-02-28 19:20:42.889141
122,121,2024-02-28 19:20:42.890154
122,120,2024-02-28 19:20:42.891165
121,122,2024-02-28 19:20:42.892166
119,121,2024-02-28 19:20:42.893176
115,121,2024-02-28 19:20:42.894433
111,121,2024-02-28 19:20:42.895445
111,124,2024-02-28 19:20:42.896474
110,122,2024-02-28 19:20:42.897488
111,120,2024-02-28 19:20:42.898688
112,117,2024-02-28 19:20:42.900135
105,117,2024-02-28 19:20:42.901136
99,117,2024-02-28 19:20:42.902183
104,111,2024-02-28 19:20:42.903349
101,70,2024-02-28 19:20:42.904363
60,53,2024-02-28 19:20:42.905537
44,98,2024-02-28 19:20:42.905537
95,110,2024-02-28 19:20:42.906543
122,122,2024-02-28 19:20:42.908053
140,127,2024-02-28 19:20:42.909489
151,126,2024-02-28 19:20:42.910931
149,128,2024-02-28 19:20:42.912126
145,128,2024-02-28 19:20:42.913197
140,128,2024-02-28 19:20:42.914212
130,127,2024-02-28 19:20:42.914212
120,123,2024-02-28 19:20:42.915230
113,124,2024-02-28 19:20:42.917243
110,120,2024-02-28 19:20:42.918244
102,2024-02-28 19:20:42.920247
88,91,2024-02-28 19:20:42.921246
80,101,2024-02-28 19:20:42.923247
92,120,2024-02-28 19:20:42.924245
111,119,2024-02-28 19:20:42.926247
117,115,2024-02-28 19:20:42.927369
119,106,2024-02-28 19:20:42.928615
118,106,2024-02-28 19:20:42.929651
118,108,2024-02-28 19:20:42.930767
117,112,2024-02-28 19:20:42.931871
115,111,2024-02-28 19:20:42.933306
111,112,2024-02-28 19:20:42.934446
109,110,2024-02-28 19:20:42.935460
104,108,2024-02-28 19:20:42.936556
104,109,2024-02-28 19:20:42.937597
106,102,2024-02-28 19:20:42.938611
105,61,2024-02-28 19:20:42.939625
67,46,2024-02-28 19:20:42.939625
45,94,2024-02-28 19:20:42.940635
90,107,2024-02-28 19:20:42.941773
116,115,2024-02-28 19:20:42.943806
137,116,2024-02-28 19:20:42.944820
146,116,2024-02-28 19:20:42.945883
146,114,2024-02-28 19:20:42.946992
143,108,2024-02-28 19:20:42.948011
139,104,2024-02-28 19:20:42.949312
133,104,2024-02-28 19:20:42.950325
127,106,2024-02-28 19:20:42.950325
119,112,2024-02-28 19:20:42.951350
107,116,2024-02-28 19:20:42.952429
98,114,2024-02-28 19:20:42.953730
94,115,2024-02-28 19:20:42.954823
101,2024-02-28 19:20:42.955873
73,95,2024-02-28 19:20:42.956891
68,107,2024-02-28 19:20:42.956891
85,125,2024-02-28 19:20:42.957923
112,125,2024-02-28 19:20:42.958936
127,124,2024-02-28 19:20:42.960078
134,124,2024-02-28 19:20:42.961121
133,124,2024-02-28 19:20:42.962292
132,124,2024-02-28 19:20:42.963307
132,122,2024-02-28 19:20:42.963307
129,121,2024-02-28 19:20:42.965579
124,118,2024-02-28 19:20:42.965579
118,124,2024-02-28 19:20:42.966679
113,121,2024-02-28 19:20:42.967725
104,78,2024-02-28 19:20:42.968794
58,52,2024-02-28 19:20:42.969872
37,98,2024-02-28 19:20:42.970922
81,112,2024-02-28 19:20:42.971993
102,123,2024-02-28 19:20:42.973026
126,128,2024-02-28 19:20:42.974143
141,130,2024-02-28 19:20:42.975157
144,128,2024-02-28 19:20:42.976214
143,128,2024-02-28 19:20:42.977227
139,126,2024-02-28 19:20:42.978251
129,121,2024-02-28 19:20:42.979264
123,121,2024-02-28 19:20:42.980606
115,121,2024-02-28 19:20:42.980606
109,118,2024-02-28 19:20:42.981657
106,108,2024-02-28 19:20:42.982679
102,102,2024-02-28 19:20:42.983838
106,100,2024-02-28 19:20:42.984920
107,96,2024-02-28 19:20:42.985941
75,2024-02-28 19:20:42.987111
90,68,2024-02-28 19:20:42.988265
78,81,2024-02-28 19:20:42.989397
86,103,2024-02-28 19:20:42.990410
111,104,2024-02-28 19:20:42.991488
119,103,2024-02-28 19:20:42.992541
121,104,2024-02-28 19:20:42.993606
125,105,2024-02-28 19:20:42.994625
124,107,2024-02-28 19:20:42.995953
122,110,2024-02-28 19:20:42.996977
119,115,2024-02-28 19:20:42.996977
119,116,2024-02-28 19:20:42.998007
116,73,2024-02-28 19:20:42.999183
74,53,2024-02-28 19:20:43.000227
51,102,2024-02-28 19:20:43.001692
92,119,2024-02-28 19:20:43.002720
112,130,2024-02-28 19:20:43.003799
132,139,2024-02-28 19:20:43.004879
138,139,2024-02-28 19:20:43.005951
136,138,2024-02-28 19:20:43.006964
136,138,2024-02-28 19:20:43.007963
135,138,2024-02-28 19:20:43.007963
129,137,2024-02-28 19:20:43.009271
121,137,2024-02-28 19:20:43.011341
118,137,2024-02-28 19:20:43.012352
113,131,2024-02-28 19:20:43.013363
108,128,2024-02-28 19:20:43.014424
108,128,2024-02-28 19:20:43.015515
104,125,2024-02-28 19:20:43.016593
102,121,2024-02-28 19:20:43.017606
100,113,2024-02-28 19:20:43.018618
102,109,2024-02-28 19:20:43.019737
86,2024-02-28 19:20:43.019737
89,72,2024-02-28 19:20:43.020770
81,84,2024-02-28 19:20:43.021809
94,101,2024-02-28 19:20:43.021809
119,100,2024-02-28 19:20:43.022820
126,101,2024-02-28 19:20:43.022820
123,101,2024-02-28 19:20:43.023933
121,101,2024-02-28 19:20:43.024934
121,102,2024-02-28 19:20:43.026937
122,100,2024-02-28 19:20:43.027934
120,59,2024-02-28 19:20:43.027934
77,39,2024-02-28 19:20:43.028934
56,84,2024-02-28 19:20:43.029935
99,97,2024-02-28 19:20:43.030935
121,108,2024-02-28 19:20:43.032201
139,113,2024-02-28 19:20:43.032201
141,114,2024-02-28 19:20:43.033235
136,118,2024-02-28 19:20:43.034248
132,125,2024-02-28 19:20:43.034248
124,127,2024-02-28 19:20:43.035442
120,129,2024-02-28 19:20:43.036454
117,133,2024-02-28 19:20:43.036454
112,133,2024-02-28 19:20:43.037650
106,129,2024-02-28 19:20:43.038663
107,123,2024-02-28 19:20:43.038663
105,122,2024-02-28 19:20:43.039727
100,120,2024-02-28 19:20:43.040783
100,118,2024-02-28 19:20:43.041786
105,117,2024-02-28 19:20:43.042804
106,117,2024-02-28 19:20:43.044254
107,113,2024-02-28 19:20:43.044254
108,112,2024-02-28 19:20:43.045267
98,2024-02-28 19:20:43.045267
90,94,2024-02-28 19:20:43.046525
81,102,2024-02-28 19:20:43.047537
95,114,2024-02-28 19:20:43.047537
117,111,2024-02-28 19:20:43.048626
120,110,2024-02-28 19:20:43.048626
120,113,2024-02-28 19:20:43.049968
125,112,2024-02-28 19:20:43.050980
124,77,2024-02-28 19:20:43.050980
83,66,2024-02-28 19:20:43.052111
65,79,2024-02-28 19:20:43.053124
78,111,2024-02-28 19:20:43.053124
116,125,2024-02-28 19:20:43.054192
142,131,2024-02-28 19:20:43.054192
153,133,2024-02-28 19:20:43.055520
153,129,2024-02-28 19:20:43.056535
142,128,2024-02-28 19:20:43.056535
131,127,2024-02-28 19:20:43.057613
124,122,2024-02-28 19:20:43.058867
118,120,2024-02-28 19:20:43.060087
111,118,2024-02-28 19:20:43.061131
109,117,2024-02-28 19:20:43.062133
108,114,2024-02-28 19:20:43.063132
103,112,2024-02-28 19:20:43.064131
100,113,2024-02-28 19:20:43.065132
102,112,2024-02-28 19:20:43.065132
100,107,2024-02-28 19:20:43.066132
99,104,2024-02-28 19:20:43.067132
106,101,2024-02-28 19:20:43.068132
110,95,2024-02-28 19:20:43.068132
110,94,2024-02-28 19:20:43.069132
111,97,2024-02-28 19:20:43.070132
77,2024-02-28 19:20:43.071133
92,69,2024-02-28 19:20:43.072133
85,80,2024-02-28 19:20:43.072133
99,98,2024-02-28 19:20:43.073133
120,101,2024-02-28 19:20:43.074134
124,102,2024-02-28 19:20:43.075133
122,68,2024-02-28 19:20:43.076445
83,51,2024-02-28 19:20:43.077603
58,99,2024-02-28 19:20:43.078602
100,116,2024-02-28 19:20:43.079602
124,130,2024-02-28 19:20:43.079602
142,136,2024-02-28 19:20:43.080603
146,137,2024-02-28 19:20:43.081603
144,141,2024-02-28 19:20:43.082603
138,139,2024-02-28 19:20:43.083603
133,137,2024-02-28 19:20:43.083603
123,134,2024-02-28 19:20:43.084603
119,131,2024-02-28 19:20:43.085605
111,130,2024-02-28 19:20:43.086604
107,126,2024-02-28 19:20:43.086604
104,123,2024-02-28 19:20:43.087605
103,122,2024-02-28 19:20:43.088605
106,118,2024-02-28 19:20:43.089627
102,116,2024-02-28 19:20:43.090604
106,115,2024-02-28 19:20:43.091611
106,115,2024-02-28 19:20:43.092612
109,116,2024-02-28 19:20:43.092612
113,115,2024-02-28 19:20:43.093638
115,114,2024-02-28 19:20:43.094619
113,114,2024-02-28 19:20:43.095620
112,116,2024-02-28 19:20:43.095620
109,114,2024-02-28 19:20:43.096619
95,2024-02-28 19:20:43.097620
94,84,2024-02-28 19:20:43.098621
84,91,2024-02-28 19:20:43.099620
91,111,2024-02-28 19:20:43.099620
109,75,2024-02-28 19:20:43.100620
76,52,2024-02-28 19:20:43.101621
56,98,2024-02-28 19:20:43.102621
103,117,2024-02-28 19:20:43.103621
124,127,2024-02-28 19:20:43.103621
143,131,2024-02-28 19:20:43.104621
155,129,2024-02-28 19:20:43.105626
154,129,2024-02-28 19:20:43.106640
146,127,2024-02-28 19:20:43.108154
136,127,2024-02-28 19:20:43.109165
129,127,2024-02-28 19:20:43.110166
125,122,2024-02-28 19:20:43.111163
119,120,2024-02-28 19:20:43.111163
113,117,2024-02-28 19:20:43.112164
111,113,2024-02-28 19:20:43.113164
105,116,2024-02-28 19:20:43.114164
104,115,2024-02-28 19:20:43.114164
105,115,2024-02-28 19:20:43.115164
102,110,2024-02-28 19:20:43.116165
101,103,2024-02-28 19:20:43.117167
98,103,2024-02-28 19:20:43.118167
98,103,2024-02-28 19:20:43.118167
102,98,2024-02-28 19:20:43.119166
103,96,2024-02-28 19:20:43.121169
106,95,2024-02-28 19:20:43.122169
108,93,2024-02-28 19:20:43.123167
113,90,2024-02-28 19:20:43.124168
116,86,2024-02-28 19:20:43.125166
67,2024-02-28 19:20:43.127436
92,58,2024-02-28 19:20:43.127436
80,38,2024-02-28 19:20:43.128434
56,39,2024-02-28 19:20:43.129435
55,92,2024-02-28 19:20:43.130434
106,109,2024-02-28 19:20:43.130434
129,119,2024-02-28 19:20:43.131435
149,129,2024-02-28 19:20:43.131435
159,136,2024-02-28 19:20:43.132879
155,138,2024-02-28 19:20:43.133932
148,137,2024-02-28 19:20:43.133932
141,139,2024-02-28 19:20:43.134944
132,142,2024-02-28 19:20:43.135955
122,140,2024-02-28 19:20:43.135955
114,135,2024-02-28 19:20:43.137336
110,134,2024-02-28 19:20:43.138347
107,132,2024-02-28 19:20:43.138347
105,133,2024-02-28 19:20:43.139393
105,129,2024-02-28 19:20:43.140404
102,125,2024-02-28 19:20:43.140404
99,119,2024-02-28 19:20:43.141415
99,116,2024-02-28 19:20:43.142433
100,110,2024-02-28 19:20:43.143577
103,110,2024-02-28 19:20:43.143577
106,111,2024-02-28 19:20:43.144585
110,111,2024-02-28 19:20:43.145611
110,110,2024-02-28 19:20:43.146613
114,105,2024-02-28 19:20:43.147613
117,102,2024-02-28 19:20:43.148612
115,101,2024-02-28 19:20:43.148612
112,106,2024-02-28 19:20:43.149612
114,101,2024-02-28 19:20:43.150612
58,2024-02-28 19:20:43.151615
56,42,2024-02-28 19:20:43.152613
32,90,2024-02-28 19:20:43.153613
79,123,2024-02-28 19:20:43.153613
123,130,2024-02-28 19:20:43.154612
137,128,2024-02-28 19:20:43.155613
140,132,2024-02-28 19:20:43.156614
144,132,2024-02-28 19:20:43.156614
145,128,2024-02-28 19:20:43.157613
143,125,2024-02-28 19:20:43.158614
136,123,2024-02-28 19:20:43.159614
125,122,2024-02-28 19:20:43.160614
115,118,2024-02-28 19:20:43.161614
110,114,2024-02-28 19:20:43.161614
106,118,2024-02-28 19:20:43.162614
107,115,2024-02-28 19:20:43.163615
107,113,2024-02-28 19:20:43.164615
108,107,2024-02-28 19:20:43.165615
105,100,2024-02-28 19:20:43.166615
101,102,2024-02-28 19:20:43.167891
107,98,2024-02-28 19:20:43.168909
